-----------------------------------------------------------
Data collection format:
PAGE | pageNo | isEnding | utility | summary
EDGE | fromPage | toPage | isDecision | decisionDescription
-----------------------------------------------------------

PAGE | 1 | false | -- | meet Nick, see his house
EDGE | 1 | 2 | false | --
PAGE | 2 | false | -- | talk to Nick, become friends
EDGE | 2 | 3 | false | --
PAGE | 3 | false | -- | Nick tells you about Horror Club
EDGE | 3 | 100 | false | --
PAGE | 100 | false | -- | Nick asks if you want to come to Horror Club tonight
EDGE | 100 | 17 | true | go to Horror Club
PAGE | 17 | false | -- | walk to Bat Wing Hall with Nick
EDGE | 17 | 96 | false | --
PAGE | 96 | false | -- | start approaching Hall, Nick shouts "get down!" at you
EDGE | 96 | 19 | true | drop to the ground, following Nick's instructions
PAGE | 19 | false | -- | enter Hall with Nick and Debbie
EDGE | 19 | 75 | false | --
PAGE | 75 | false | -- | introduced to other club members
EDGE | 75 | 128 | false | --
PAGE | 128 | false | -- | learn that you'll be playing scary games tonight
EDGE | 128 | 66 | false | --
PAGE | 66 | false | -- | must decide to join either Red or Blue team
EDGE | 66 | 88 | true | join Red Team
PAGE | 88 | false | -- | see list of items for scavenger hunt
EDGE | 88 | 79 | false | --
PAGE | 79 | false | -- | ask teammates if creepy items are legit, they say yes
EDGE | 79 | 47 | false | --
PAGE | 47 | false | -- | discover the other kids are all monsters
EDGE | 47 | 114 | false | --
PAGE | 114 | false | -- | become skeptical that the monsters are real; might be costumes
EDGE | 114 | 13 | true | decide it's all a joke; the kids aren't actually monsters
PAGE | 13 | true | -7 | try to remove Nick's "mask", monsters eat you
EDGE | 114 | 71 | true | believe monsters are real
PAGE | 71 | false | -- | fail escape attempt, realize that only hope is to play the game
EDGE | 71 | 48 | false | --
PAGE | 48 | false | -- | learn you'll become a monster if you can't find all four items
EDGE | 48 | 11 | true | decide to stay on the main floor
PAGE | 11 | false | -- | begin searching around living room area
EDGE | 11 | 97 | false | --
PAGE | 97 | false | -- | grab some bandages, which might be one of items you need
EDGE | 97 | 12 | false | --
PAGE | 12 | false | -- | see blood seeping out of a closed closet
EDGE | 12 | 83 | true | open bloody closet door
PAGE | 83 | false | -- | find human hand in closet
EDGE | 83 | 67 | false | --
PAGE | 67 | false | -- | detach bone from hand, get called over by Debbie's whispers
EDGE | 67 | 6 | false | --
PAGE | 6 | false | -- | Debbie says she wants to help you escape
EDGE | 6 | 86 | true | decide Debbie is telling the truth
PAGE | 86 | false | -- | encounter hungry-looking Nick and Connor, look to Debbie for help
EDGE | 86 | 38 | false | --
PAGE | 38 | false | -- | Debbie turns on you; run towards a door to escape
EDGE | 38 | 43 | false | --
PAGE | 43 | false | -- | see mummy walking down hall, realize you must get its bandages
EDGE | 43 | 26 | false | --
PAGE | 26 | false | -- | start following, but hear monsters talking about you behind door
EDGE | 26 | 65 | true | decide to eavesdrop on Nick, Connor, and Debbie
PAGE | 65 | true | -6 | learn house turns visitors to stone, and realize it's happening
EDGE | 26 | 94 | true | decide to follow mummy instead of eavesdrop on monsters
PAGE | 94 | false | -- | find mummy sleeping beside its case at end of hall
EDGE | 94 | 117 | true | take a piece of bandage from mummy's case
PAGE | 117 | false | -- | get pulled into case, try to bust your way back out
EDGE | 117 | 37 | false | --
PAGE | 37 | false | -- | break out of case but find yourself surrounded by men in robes
EDGE | 37 | 58 | false | --
PAGE | 58 | false | -- | must choose correct enchanted stone to prevent being mummified
EDGE | 58 | 84 | true | pick red stone
PAGE | 84 | false | -- | red stone teleports you back to Bat Wing Hall
EDGE | 84 | 64 | false | --
PAGE | 64 | true | -4 | an hour has passed; no time -> turned into a monster
EDGE | 58 | 34 | true | pick gray rock
PAGE | 34 | false | -- | you picked the wrong rock, run to the king and cry for help
EDGE | 34 | 52 | false | --
PAGE | 52 | false | -- | King calls the evil priests off, invites you to stay with him
EDGE | 52 | 24 | true | accept King's offer to stay with him
PAGE | 24 | false | -- | King ties you down, plans to take you to the afterlife as a mummy
EDGE | 24 | 120 | false | --
PAGE | 120 | true | -10 | you are mummified alive
EDGE | 52 | 89 | true | decline King's offer, decide to leave the palace
PAGE | 89 | false | -- | King lets you go but later changes his mind and gives chase
EDGE | 89 | 80 | true | hide from King in mummy case
PAGE | 80 | false | -- | hide in case for a bit then pop out; you're back in Bat Wing Hall
EDGE | 80 | 39 | false | --
PAGE | 39 | false | -- | grab bandage, go up stairs, find yourself in a corridor
EDGE | 39 | 29 | true | you're wearing a sweatshirt/sweater, so turn right
PAGE | 29 | false | -- | find monsters playing your favorite video game, Mud Monsters
EDGE | 29 | 121 | false | --
PAGE | 121 | false | -- | challenge Connor to contest in exchange for freedom
EDGE | 121 | 7 | false | --
PAGE | 7 | false | -- | tidal wave coming (in-game), must decide whether to jump or duck
EDGE | 7 | 20 | true | jump the wave
PAGE | 20 | false | -- | jump wave, win game against Nick; make a run for it
EDGE | 20 | 116 | false | --
PAGE | 116 | true | 8 | successfully escape and return home to play the game with brother
EDGE | 7 | 72 | true | duck under wave
PAGE | 72 | true | -4 | ducking under wave fails, you lose, Nick turns you into a monster
EDGE | 39 | 68 | true | you're not wearing a sweatshirt/sweater, so turn left
PAGE | 68 | false | -- | find rope ladder, start climbing up it
EDGE | 68 | 131 | false | --
PAGE | 131 | false | -- | climb into attic, find a woman in a box who's been waiting for you
EDGE | 131 | 107 | false | --
PAGE | 107 | false | -- | woman identifies herself as a witch, asks you to help her escape
EDGE | 107 | 95 | true | choose to help the witch
