-----------------------------------------------------------
Data collection format:
PAGE | pageNo | isEnding | utility | summary
EDGE | fromPage | toPage | isDecision | decisionDescription
-----------------------------------------------------------

PAGE | 1 | false | -- | meet Nick, see his house
EDGE | 1 | 2 | false | --
PAGE | 2 | false | -- | talk to Nick, become friends
EDGE | 2 | 3 | false | --
PAGE | 3 | false | -- | Nick tells you about Horror Club
EDGE | 3 | 100 | false | --
PAGE | 100 | false | -- | Nick asks if you want to come to Horror Club tonight
EDGE | 100 | 17 | true | go to Horror Club
PAGE | 17 | false | -- | walk to Bat Wing Hall with Nick
EDGE | 17 | 96 | false | --
PAGE | 96 | false | -- | start approaching Hall, Nick shouts "get down!" at you
EDGE | 96 | 19 | true | drop to the ground, following Nick's instructions
PAGE | 19 | false | -- | enter Hall with Nick and Debbie
EDGE | 19 | 75 | false | --
PAGE | 75 | false | -- | introduced to club, learn that their plans of just telling stories has changed
EDGE | 75 | 128 | false | --
PAGE | 128 | false | -- | learn that you'll be playing scary games tonight, Debbie warns you to leave
EDGE | 128 | 66 | false | --
PAGE | 66 | false | -- | learn that Red and Blue team both have 3 members,  need to pick a team to join
EDGE | 66 | 88 | true | join Red Team
PAGE | 88 | false | -- | see list of items for scavenger hunt
EDGE | 88 | 79 | false | --
PAGE | 79 | false | -- | receive confirmation from teammates that creepy items listed for the hunt are legit
EDGE | 79 | 47 | false | --
PAGE | 47 | false | -- | discover the other kids are all monsters
EDGE | 47 | 114 | false | --
PAGE | 114 | false | -- | become skeptical that the monsters are real, consider might just be costumes
EDGE | 114 | 13 | true | decide it's all a joke; the kids aren't actually monsters
PAGE | 13 | true | -7 | pull on Nick's face to remove the "mask", monsters proceed to eat you
EDGE | 114 | 71 | true | believe monsters are real
PAGE | 71 | false | -- | try to escape but fail, realize that only hope is to play the game
EDGE | 71 | 48 | false | --
PAGE | 48 | false | -- | learn you'll be turned into a monster if you can't find all four items
EDGE | 48 | 11 | true | decide to stay on the main floor
PAGE | 11 | false | -- | begin searching around living room area
EDGE | 11 | 97 | false | --
PAGE | 97 | false | -- | more searching, grab bandages, which might be one of items you need
EDGE | 97 | 12 | false | --
PAGE | 12 | false | -- | see blood seeping out of a closed closet
EDGE | 12 | 83 | true | open bloody closet door
PAGE | 83 | false | -- | find human hand in closet
EDGE | 83 | 67 | false | --
PAGE | 67 | false | -- | detach bone from hand, get called over by Debbie's whispers
EDGE | 67 | 6 | false | --
PAGE | 6 | false | -- | Debbie says she used to be a normal kid like you and wants to help you escape
EDGE | 6 | 86 | true | decide Debbie is telling the truth
PAGE | 86 | false | -- | encounter hungry-looking Nick and Connor, look to Debbie for help
EDGE | 86 | 38 | false | --
PAGE | 38 | false | -- | Debbie turns on you; so you run towards a bright green door to escape
EDGE | 38 | 43 | false | --
PAGE | 43 | false | -- | see mummy walking down hall, don't want to follow it but realize you have to scavenge mummy bandages
EDGE | 43 | 26 | false | --
PAGE | 26 | false | -- | start following mummy, but hear Nick, Connor, and Debbie talking about you behind hallway door
EDGE | 26 | 65 | true | decide to eavesdrop on Nick, Connor, and Debbie
PAGE | 65 | true | -6 | hear Debbie say that house turns most visitors to stone, and realize that the process has begun rapidly happening to you
EDGE | 26 | 94 | true | decide to follow mummy instead of eavesdrop on monsters
PAGE | 94 | false | -- | find mummy sleeping beside its case at end of hall
EDGE | 94 | 117 | true | take a piece of bandage from mummy's case
PAGE | 117 | false | -- | get pulled into mummy case by mysterious hand, try to bust your way back out
EDGE | 117 | 37 | false | --
PAGE | 37 | false | -- | break out of case but find yourself in a completely different place, surrounded by men in white robes
EDGE | 37 | 58 | false | --
PAGE | 58 | false | -- | learn that you will be mummified unless you choose the correct enchanted stone to transport you back to Bat Wing Hall
EDGE | 58 | 84 | true | pick red stone
PAGE | 84 | false | -- | red stone teleports you back to Bat Wing Hall
EDGE | 84 | 64 | false | --
PAGE | 64 | true | -4 | find out you teleported back an hour later and it's midnight; you're out of time and get turned into a monster
EDGE | 58 | 34 | true | pick gray rock
PAGE | 34 | false | -- | discover you picked the wrong rock, run into another room, find King Ra-ma-la-ma and cry for help
EDGE | 34 | 52 | false | --
PAGE | 52 | false | -- | King calls the evil priests off, and instead invites you to stay in this realm with him
EDGE | 52 | 24 | true | accept King's offer to stay with him
PAGE | 24 | false | -- | King leads you to a room, ties you down, says he plans to take you to the afterlife with him as a mummy
EDGE | 24 | 120 | false | --
PAGE | 120 | true | -10 | you are mummified alive
EDGE | 52 | 89 | true | decline King's offer, decide to leave the palace
PAGE | 89 | false | -- | King lets you outside but later changes his mind and starts chasing you
EDGE | 89 | 80 | true | hide from King in mummy case
PAGE | 80 | false | -- | hide in case for a bit then pop out, finding yourself back in Bat Wing Hall
EDGE | 80 | 39 | false | --
PAGE | 39 | false | -- | grab bandage off sleeping mummy, go up some stairs behind it, find yourself in a musty corridor, must decide whether to turn left or right
EDGE | 39 | 29 | true | you're wearing a sweatshirt/sweater, so turn right
PAGE | 29 | false | -- | find monsters playing your favorite video game, Mud Monsters
EDGE | 29 | 121 | false | --
PAGE | 121 | false | -- | challenge Connor to a Mud Monsters contest in which a victory leads to your freedom and defeat leads to you being turned into a monster
EDGE | 121 | 7 | false | --
PAGE | 7 | false | -- | deep into game, only you and Nick remain, tidal wave coming (in-game), must decide whether to jump over it or duck under it
EDGE | 7 | 20 | true | jump the wave
PAGE | 20 | false | -- | jump wave, win game against Nick; monsters start arguing, so you make a run for it
EDGE | 20 | 116 | false | --
